%USR,%NICE,%SYS,%iowait,%irq,soft,steal,guest,gnice,%Idle,
6.484428,0,93.51557,0,0,0,0,0,0,0,1 CFQ
5.88532,0.42842,93.58388,0.00606,0,0.00598,0,0,0,0.09034,2 CFQ
4.956212,0.376667,94.43721,0.005051,0,0.005202,0,0,0,0.219646,3 CFQ
5.106721,0,93.961,0,0,0.052514,0,0,0,0.879713,4 CFQ
,,,,,,,,,,
6.945291,0.546869,92.50296,0.004854,0,0,0,0,0,0,1 DEAD
5.629781,0,94.31036,0,0,0,0,0,0,0.059861,2 DEAD
4.847659,0.375252,94.31167,0.011707,0,0.01013,0,0,0,0.443561,3 DEAD
4.902227,0,94.08571,0.004413,0,0.053743,0,0,0,0.953866,4 DEAD
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,EXECUTION,Not EXE,
,,,,,6.484428,0,93.51557,99.999998,0,
,,,,,5.88532,0.42842,93.58388,99.89762,0.10238,
,,,,,4.956212,0.376667,94.43721,99.770089,0.229899,
,,,,,5.106721,0,93.961,99.067721,0.932227,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
6.945291,0.546869,92.50296,99.99512,,,,,,,
5.629781,0,94.31036,99.940141,,,,,,,
4.847659,0.375252,94.31167,99.534581,,,,,,,
4.902227,0,94.08571,98.987937,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.004854,0,0,0,0,0,0,0.004854,,,
0,0,0,0,0,0,0.059861,0.059861,,,
0.011707,0,0.01013,0,0,0,0.443561,0.465398,,,
0.004413,0,0.053743,0,0,0,0.953866,1.012022,,,
