Linux 4.2.0-27-generic (ubuntu) 	12/02/2016 	_x86_64_	(4 CPU)

12:50:30 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:50:31 PM  all    4.59    0.00   82.57    9.17    0.00    3.67    0.00    0.00    0.00    0.00
12:50:32 PM  all    5.49    0.00   93.41    0.00    0.00    1.10    0.00    0.00    0.00    0.00
12:50:33 PM  all    6.00    0.00   94.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:50:34 PM  all    7.92    0.00   92.08    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:50:35 PM  all    8.00    0.00   92.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:50:36 PM  all    3.03    0.00   96.97    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:50:37 PM  all    4.95    0.00   95.05    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:50:38 PM  all    6.00    0.00   94.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:50:39 PM  all    9.00    0.00   91.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:50:40 PM  all    5.94    0.00   94.06    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:50:41 PM  all    7.00    0.00   93.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:50:42 PM  all    7.00    0.00   93.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:50:43 PM  all    5.05    0.00   94.95    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:50:44 PM  all    4.00    0.00   96.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:50:45 PM  all    4.00    0.00   96.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00

Average:     all    5.86    0.00   93.14    0.67    0.00    0.33    0.00    0.00    0.00    0.00
